av_pred_class,av_training_set,kepid,spline_bkspace,tce_depth,tce_duration,tce_impact,tce_max_mult_ev,tce_model_snr,tce_period,tce_plnt_num,tce_prad,tce_time0bk
AFP,AFP,7906739,1.602816104888916,105.30000305175781,0.1757083386182785,0.620199978351593,22.639999389648438,21.510000228881836,7.014810085296631,1,0.9362000226974487,136.88999938964844
AFP,AFP,8123628,1.602816104888916,28.6299991607666,0.6000000238418579,0.08913999795913696,9.069000244140625,9.355999946594238,4.848879814147949,2,0.6467000246047974,133.62100219726562
AFP,AFP,7668648,0.8952139616012573,240000.0,0.33008334040641785,1.0,7075.0,2547.0,27.830299377441406,2,76.33000183105469,144.1529998779297
NTP,NTP,2714955,1.602816104888916,73.81999969482422,0.2214583307504654,0.002369999885559082,8.64799976348877,10.149999618530273,0.9827690124511719,1,0.9165999889373779,132.0800018310547
PC,PC,6362874,3.484652519226074,138.0,0.059166666120290756,0.09408999979496002,46.529998779296875,53.65999984741211,0.9748650193214417,1,0.9646999835968018,132.1020050048828
AFP,AFP,10341781,1.319972038269043,106.0999984741211,0.16454166173934937,0.08316999673843384,8.918000221252441,9.300999641418457,0.9337639808654785,1,0.6869000196456909,132.427001953125
AFP,AFP,8263746,1.602816104888916,10790.0,0.25,0.10000000149011612,27.889999389648438,-1.0,10.994000434875488,4,7.453000068664551,133.38699340820312
AFP,AFP,9813078,20.0,304.0,0.2241249978542328,0.8346999883651733,13.050000190734863,7.38700008392334,1.2196999788284302,2,6.13700008392334,131.85899353027344
AFP,AFP,5649177,3.484652519226074,21.420000076293945,0.06804166734218597,0.4999000132083893,10.569999694824219,12.779999732971191,0.5203449726104736,2,1.0429999828338623,131.52099609375
AFP,AFP,5450881,20.0,18.729999542236328,0.05608333274722099,0.5001000165939331,8.979999542236328,10.430000305175781,1.223230004310608,3,1.031999945640564,132.03199768066406
AFP,AFP,8461529,20.0,191.5,0.1459166705608368,0.044840000569820404,16.360000610351562,17.799999237060547,0.8991389870643616,1,3.255000114440918,132.31900024414062
AFP,AFP,9226081,20.0,44.77000045776367,0.13062499463558197,0.26249998807907104,8.762999534606934,10.069999694824219,0.8961880207061768,2,1.3969999551773071,132.0399932861328
NTP,NTP,8265204,0.5,22.260000228881836,0.10241666436195374,0.8932999968528748,9.416000366210938,8.633999824523926,1.240049958229065,1,1.0390000343322754,131.9980010986328
AFP,AFP,11302627,20.0,15.119999885559082,0.16766667366027832,0.03971000015735626,7.940000057220459,5.499000072479248,2.240839958190918,1,0.882099986076355,132.9669952392578
AFP,AFP,12216210,2.8697266578674316,49.56999969482422,0.09833333641290665,0.02783999964594841,7.526000022888184,7.724999904632568,3.993269920349121,4,1.9529999494552612,133.2050018310547
PC,PC,11030475,1.087040662765503,335.20001220703125,0.07474999874830246,0.06078999862074852,20.34000015258789,22.389999389648438,2.818160057067871,1,1.406000018119812,132.2480010986328
AFP,AFP,1433399,0.5,71.12000274658203,0.3016666769981384,0.30000001192092896,9.482999801635742,10.5,2.1265199184417725,1,1.6069999933242798,133.5240020751953
AFP,AFP,6670075,3.484652519226074,30.719999313354492,0.054249998182058334,0.09741999953985214,18.540000915527344,19.030000686645508,0.7596799731254578,1,1.1829999685287476,131.78599548339844
AFP,AFP,3448456,2.8697266578674316,119.5999984741211,0.05220833420753479,0.11249999701976776,9.53600025177002,7.241000175476074,0.7769140005111694,1,0.9484999775886536,132.06100463867188
AFP,AFP,9643043,20.0,9584.0,0.3871249854564667,0.9842000007629395,195.6999969482422,150.6999969482422,84.80619812011719,1,14.100000381469727,192.3730010986328
AFP,AFP,11668602,0.5,29.719999313354492,0.4891666769981384,0.3027999997138977,7.442999839782715,4.551000118255615,3.4591801166534424,1,1.0140000581741333,132.08700561523438
AFP,AFP,2011424,20.0,10.859999656677246,0.08124999701976776,0.8723999857902527,18.709999084472656,4.328000068664551,0.5213090181350708,2,0.7195000052452087,131.6790008544922
AFP,AFP,5651327,1.602816104888916,60.790000915527344,0.06258333474397659,0.8981999754905701,9.41100025177002,8.552000045776367,0.9842950105667114,1,1.440000057220459,132.44500732421875
PC,PC,7685981,4.231344699859619,551.5,0.19362500309944153,0.5128999948501587,37.83000183105469,41.25,4.408370018005371,1,2.322999954223633,132.5189971923828
AFP,AFP,5376836,0.5,472.20001220703125,0.12541666626930237,0.21250000596046448,41.58000183105469,43.84000015258789,3.4794199466705322,2,1.9259999990463257,131.58099365234375
AFP,AFP,10799735,2.3633148670196533,21240.0,0.18458333611488342,0.43689998984336853,888.4000244140625,824.5,37.590301513671875,1,14.9399995803833,157.35000610351562
AFP,AFP,9429060,20.0,153.5,0.06320833414793015,0.037209998816251755,8.895000457763672,4.714000225067139,0.5142470002174377,3,1.9830000400543213,132.02000427246094
